title,cast_and_crew,genre
In the Earth,"Ben Wheatley (director/screenplay); Joel Fry, Reece Shearsmith, Hayley Squires, Ellora Torchia, John Hollingworth, Mark Monero","Horror, Sci-Fi, Thriller"
Stowaway,"Joe Penna (director/screenplay); Ryan Morrison (screenplay); Anna Kendrick, Daniel Dae Kim, Shamier Anderson, Toni Collette","Adventure, Sci-Fi, Thriller"
Mortal Kombat,"Simon McQuoid (director); Greg Russo, David Callaham (screenplay); Lewis Tan, Jessica McNamee, Josh Lawson, Tadanobu Asano, Mehcad Brooks, Ludi Lin, Chin Han, Joe Taslim, Hiroyuki Sanada","Action, Adventure, Fantasy"
Vanquish,"George Gallo (director); Samuel Bartlett (screenplay); Ruby Rose, Morgan Freeman",Thriller
Together Together,"Nikole Beckwith (director/screenplay); Ed Helms, Patti Harrison, Tig Notaro",Comedy
We Broke Up,"Jeff Rosenberg (director/screenplay); Laura Jacqmin (screenplay); William Jackson Harper, Aya Cash","Comedy, Drama"
Things Heard & Seen,"Shari Springer Berman and Robert Pulcini (director/screenplay); Amanda Seyfried, James Norton, Natalia Dyer, F. Murray Abraham","Drama, Horror, Mystery"
Without Remorse,"Stefano Sollima (director); Taylor Sheridan, Will Staples (screenplay); Michael B. Jordan, Jamie Bell, Jodie Turner-Smith, Lauren London, Brett Gelman, Jacob Scipio, Jack Kesy, Colman Domingo, Guy Pearce","Action, Thriller, War"
The Virtuoso,"Nick Stagliano (director/screenplay); James C. Wolf (screeplay); Anson Mount, Abbie Cornish, Eddie Marsan, David Morse, Anthony Hopkins","Action, Thriller"
Separation,"William Brent Bell (director); Nick Amadeus, Josh Braun (screenplay); Rupert Friend, Mamie Gummer, Violet McGraw, Brian Cox",Horror
The Resort,"Taylor Chien (director/screenplay); Brock O'Hurn, Avery Pascual, Michael Vlamis, Michelle Randolph, Bianca Haase",Horror
Wrath of Man,"Guy Ritchie (director/screenplay); Ivan Atkinson, Marn Davies (screenplay); Jason Statham, Holt McCallany, Jeffrey Donovan, Josh Hartnett, Laz Alonso, Raúl Castillo, DeObia Oparei, Eddie Marsan, Scott Eastwood, Andy García","Action, Crime, Thriller"
Monster,"Anthony Mandler (director); Radha Blank, Cole Wiley, Janece Shaffer (screenplay); Kelvin Harrison Jr., Jennifer Ehle, Tim Blake Nelson, Nasir ""Nas"" Jones, Rakim ""A$AP Rocky"" Mayers, Paul Ben-Victor, John David Washington, Jennifer Hudson, Jeffrey Wright","Action, Horror"
Here Today,"Billy Crystal (director/screenplay); Alan Zweibel (screenplay); Billy Crystal, Tiffany Haddish, Penn Badgley, Laura Benanti, Louisa Krause","Comedy, Drama"
Army of the Dead,"Zack Snyder (director/screenplay); Shay Hatten, Joby Harold (screenplay); Dave Bautista, Ella Purnell, Omari Hardwick, Ana de la Reguera, Theo Rossi, Matthias Schweighöfer, Nora Arnezeder, Hiroyuki Sanada, Tig Notaro, Raúl Castillo, Huma Qureshi, Garret Dillahunt","Action, Crime, Horror"
Those Who Wish Me Dead,"Taylor Sheridan (director/screenplay); Michael Koryta, Charles Leavitt (screenplay); Angelina Jolie, Nicholas Hoult, Finn Little, Aidan Gillen, Jake Weber, Medina Senghore, Jon Bernthal","Action, Crime, Drama"
The Woman in the Window,"Joe Wright (director); Tracy Letts (screenplay); Amy Adams, Gary Oldman, Anthony Mackie, Fred Hechinger, Wyatt Russell, Brian Tyree Henry, Jennifer Jason Leigh, Julianne Moore","Crime, Drama, Mystery"
Spiral,"Darren Lynn Bousman (director); Josh Stolberg, Pete Goldfinger (screenplay); Chris Rock, Max Minghella, Marisol Nichols, Samuel L. Jackson","Comedy, Drama, Romance"
616 Wilford Lane,"Mark S. Allen, Dante Yore (director/screenplay); Howard Burd (screenplay); John Littlefield, Eric Roberts, Alyson Gorske, Stevonte Hart, Eliza Roberts",Horror
Cruella,"Craig Gillespie (director); Dana Fox, Tony McNamara (screenplay); Emma Stone, Emma Thompson, Joel Fry, Paul Walter Hauser, Emily Beecham, Kirby Howell-Baptiste, Mark Strong","Adventure, Comedy, Crime"
Plan B,"Natalie Morales (director); Prathi Srinivasan, Joshua Levy (screenplay); Kuhoo Verma, Victoria Moroles",Comedy
Plan B,"Natalie Morales (director); Prathi Srinivasan, Joshua Levy (screenplay); Kuhoo Verma, Victoria Moroles",Crime
Spirit Untamed,"Elaine Bogan, Ennio Torresan (directors); Aury Wallington (screenplay); Isabela Merced, Marsai Martin, Mckenna Grace, Julianne Moore, Jake Gyllenhaal, Walton Goggins, Eiza González","Animation, Adventure, Comedy"
The Conjuring: The Devil Made Me Do It,"Michael Chaves (director); David Leslie Johnson-McGoldrick (screenplay); Patrick Wilson, Vera Farmiga, Ruairi O'Connor, Sarah Catherine Hook, Julian Hilliard","Horror, Mystery, Thriller"
Flashback,"Christopher MacBride (director/screenplay); Dylan O'Brien, Maika Monroe, Hannah Gross, Emory Cohen, Keir Gilchrist",Comedy
Under the Stadium Lights,"Todd Randall (director); John Collins, Hamid Torabpour (screenplay); Milo Gibson, Laurence Fishburne, Glenn Morshower, Noel Gugliemi","Action, Drama, Sport"
Grace and Grit,"Sebastian Siegel (director/screenplay); Mena Suvari, Stuart Townsend, Frances Fisher, Rebekah Graf, Mariel Hemingway, Nick Stahl","Biography, Drama, Romance"
Awake,"Mark Raso (director/screenplay); Joseph Raso (screenplay); Gina Rodriguez, Jennifer Jason Leigh, Barry Pepper, Finn Jones, Gil Bellows","Action, Adventure, Drama"
Awake,"Mark Raso (director/screenplay); Joseph Raso (screenplay); Gina Rodriguez, Jennifer Jason Leigh, Barry Pepper, Finn Jones, Gil Bellows",Thriller
In the Heights,"Jon M. Chu (director); Quiara Alegría Hudes (screenplay); Anthony Ramos, Corey Hawkins, Leslie Grace, Melissa Barrera, Olga Merediz, Daphne Rubin-Vega, Gregory Diaz IV, Stephanie Beatriz, Dascha Polanco, Jimmy Smits, Lin-Manuel Miranda","Drama, Musical, Romance"
Infinite,"Antoine Fuqua (director); Ian Shorr (screenplay); Mark Wahlberg, Chiwetel Ejiofor, Sophie Cookson, Jason Mantzoukas, Rupert Friend, Toby Jones, Dylan O'Brien","Action, Sci-Fi, Thriller"
Peter Rabbit 2: The Runaway,"Will Gluck (director/screenplay); Patrick Burleigh (screenplay); James Corden, Rose Byrne, Domhnall Gleeson, Margot Robbie, Elizabeth Debicki, Lennie James, David Oyelowo","Animation, Adventure, Comedy"
Wish Dragon,"Chris Appelhans (director/screenplay); Jimmy Wong, John Cho, Constance Wu, Natasha Liu Bordizzo, Jimmy O. Yang, Aaron Yoo, Will Yun Lee, Bobby Lee, Nico Santos, Ronny Chieng","Animation, Adventure, Comedy"
The Misfits,"Renny Harlin (director); Robert Henny, Kurt Wimmer (screenplay); Pierce Brosnan, Rami Jaber, Hermione Corfield, Jamie Chung, Mike d Angelo, Tim Roth, Nick Cannon","Action, Adventure, Thriller"
12 Mighty Orphans,"Ty Roberts (director/screenplay); Lane Garrison, Kevin Meyer (screenplay); Luke Wilson, Vinessa Shaw, Wayne Knight, Jake Austin Walker, Jacob Lofland, Levi Dylan, Robert Duvall, Martin Sheen","History, Sport"
Queen Bees,"Michael Lembeck (director); Donald Martin (screenplay); Ellen Burstyn, James Caan, Ann-Margret, Jane Curtin, Christopher Lloyd, Loretta Devine","Comedy, Drama, Romance"
Hitman's Wife's Bodyguard,"Patrick Hughes (director); Tom O'Connor, Brandon Murphy, Phillip Murphy (screenplay); Ryan Reynolds, Samuel L. Jackson, Salma Hayek, Frank Grillo, Richard E. Grant, Antonio Banderas, Morgan Freeman","Action, Comedy, Crime"
Luca,"Enrico Casarosa (director); Mike Jones, Jesse Andrews (screenplay); Jacob Tremblay, Jack Dylan Grazer, Emma Berman, Saverio Raimondo, Maya Rudolph, Marco Baricelli, Jim Gaffigan, Peter Sohn, Lorenzo Crisci, Marina Massironi, Sandy Martin","Animation, Adventure, Comedy"
Fatherhood,"Paul Weitz (director/screenplay); Dana Stevens (screenplay); Kevin Hart, Alfre Woodard, Lil Rel Howery, DeWanda Wise, Anthony Carrigan, Melody Hurd, Paul Reiser","Comedy, Drama"
The Birthday Cake,"Jimmy Giannopoulos (director/screenplay); Diomedes Raul Bermudez, Shiloh Fernandez (screenplay); Shiloh Fernandez, Val Kilmer, Ewan McGregor, Ashley Benson, Lorraine Bracco, David Mazouz","Crime, Thriller"
Love Spreads,"Jamie Adams (director/screenplay); Alia Shawkat, Eiza González, Chanel Cresswell, Nick Helm, Dolly Wells, Tara Lee",Comedy
Good on Paper,"Kimmy Gatewood (director); Iliza Shlesinger (screenplay); Iliza Shlesinger, Ryan Hansen, Margaret Cho, Rebecca Rittenhouse","Comedy, Romance"
F9,"Justin Lin (director/screenplay); Daniel Casey (screenplay); Vin Diesel, John Cena, Michelle Rodriguez, Tyrese Gibson, Chris ""Ludacris"" Bridges, Jordana Brewster, Nathalie Emmanuel, Sung Kang, Michael Rooker, Helen Mirren, Kurt Russell, Charlize Theron","Action, Crime, Thriller"
The Ice Road,"Jonathan Hensleigh (director/screenplay); Liam Neeson, Benjamin Walker, Amber Midthunder, Marcus Thomas, Holt McCallany, Martin Sensmeier, Matt McCoy, Matt Salinger, Laurence Fishburne","Action, Adventure, Drama"
Werewolves Within,"Josh Ruben (director); Mishna Wolff (screenplay); Sam Richardson, Milana Vayntrub, George Basil, Sarah Burns, Michael Chernus, Catherine Curtin, Harvey Guillén, Cheyenne Jackson, Michaela Watkins, Glenn Fleshler","Comedy, Horror, Mystery"
False Positive,"John Lee (director/screenplay); Ilana Glazer (screenplay); Ilana Glazer, Justin Theroux, Sophia Bush, Josh Hamilton, Pierce Brosnan","Horror, Mystery, Thriller"
Lansky,"Eytan Rockaway (director/screenplay); Harvey Keitel, Sam Worthington, AnnaSophia Robb, Minka Kelly, David James Elliott, John Magaro","Biography, Crime, Drama"
Rollers,"Isaiah Smallman (director); Johnny Ray Gill, Kate Cobb, Vicky Jeudy, Kevin Bigley","Drama, Comedy"
America: The Motion Picture,"Matt Thompson (director); Dave Callaham (screenplay); Channing Tatum, Jason Mantzoukas, Olivia Munn, Bobby Moynihan, Judy Greer, Will Forte, Raoul Trujillo, Killer Mike, Simon Pegg, Andy Samberg","Animation, Action, Adventure"
No Sudden Move,"Steven Soderbergh (director); Ed Solomon (screenplay); Don Cheadle, Benicio del Toro, David Harbour, Jon Hamm, Amy Seimetz, Brendan Fraser, Kieran Culkin, Noah Jupe, Craig Grant, Julia Fox, Frankie Shaw, Ray Liotta, Bill Duke","Crime, Drama, Mystery"
The Tomorrow War,"Chris McKay (director); Zach Dean (screenplay); Chris Pratt, Yvonne Strahovski, J. K. Simmons, Betty Gilpin, Sam Richardson, Edwin Hodge, Jasmine Mathews, Ryan Kiera Armstrong, Keith Powers","Action, Adventure, Drama"
The Boss Baby: Family Business,"Tom McGrath (director); Michael McCullers (screenplay); Alec Baldwin, James Marsden, Amy Sedaris, Ariana Greenblatt, Jeff Goldblum, Eva Longoria, Jimmy Kimmel, Lisa Kudrow","Animation, Adventure, Comedy"
The Forever Purge,"Everardo Gout (director); James DeMonaco (screenplay); Ana de la Reguera, Tenoch Huerta, Josh Lucas, Cassidy Freeman, Leven Rambin, Alejandro Edda, Will Patton","Action, Horror, Thriller"
Till Death,"S.K. Dale (director); Jason Carvey (screenplay); Megan Fox, Eoin Macken, Callan Mulvey, Jack Roth, Aml Ameen",Thriller
Let Us In,"Craig Moss (director/screenplay); Joe Callero (screenplay); Mackenzie Moss, Sadie Stanley, Mackenzie Ziegler, Siena Agudong, Tobin Bell","Horror, Sci-Fi"
Black Widow,"Cate Shortland (director); Eric Pearson (screenplay); Scarlett Johansson, Florence Pugh, David Harbour, O-T Fagbenle, Olga Kurylenko, William Hurt, Ray Winstone, Rachel Weisz","Action, Adventure, Sci-Fi"
Gunpowder Milkshake,"Navot Papushado (director/screenplay); Ehud Lavski (screenplay); Karen Gillan, Lena Headey, Carla Gugino, Chloe Coleman, Michelle Yeoh, Angela Bassett, Paul Giamatti","Action, Crime, Thriller"
Space Jam: A New Legacy,"Malcolm D. Lee (director); Juel Taylor, Tony Rettenmaier, Keenan Coogler, Terence Nance, Jesse Gordon, Celeste Ballard (screenplay); LeBron James, Don Cheadle, Khris Davis, Sonequa Martin-Green, Cedric Joe, Jeff Bergman, Eric Bauza, Zendaya","Animation, Adventure, Comedy"
Escape Room: Tournament of Champions,"Adam Robitel (director); Will Honley, Maria Melnik, Daniel Tuch, Oren Uziel (screenplay); Taylor Russell, Logan Miller, Indya Moore, Holland Roden, Thomas Cocquerel, Carlito Olivero, Isabelle Fuhrman","Action, Adventure, Horror"
Die in a Gunfight,"Colin Schiffli (director); Andrew Barrer, Gabriel Ferrari (screenplay); Alexandra Daddario, Diego Boneta, Justin Chatwin, Wade Allain-Marcus, Billy Crudup, Emmanuelle Chriqui, Travis Fimmel","Action, Comedy, Crime"
Pig,"Michael Sarnoski (director/screenplay); Nicolas Cage, Alex Wolff, Adam Arkin","Drama, Mystery, Thriller"
Out of Death,"Mike Burns (director); Bill Lawrence (screenplay); Bruce Willis, Jaime King, Lala Kent","Crime, Thriller"
How It Ends,"Daryl Wein, Zoe Lister-Jones (director/screenplay); Zoe Lister-Jones, Cailee Spaeny, Olivia Wilde, Fred Armisen, Helen Hunt, Lamorne Morris, Nick Kroll",Comedy
Trollhunters: Rise of the Titans,"Johane Matte, Andrew L. Schmidt, Franciso Ruiz Velasco (directors); Guillermo del Toro, Marc Guggenheim, The Hageman Brothers (screenplay); Emile Hirsch, Lexi Medrano, Charlie Saxton, Kelsey Grammer, Fred Tatasciore, Colin O'Donoghue, Diego Luna, Tatiana Maslany, Steven Yeun, Cole Sand, Alfred Molina, Nick Frost, Nick Offerman","Animation, Action, Adventure"
Old,"M. Night Shyamalan (director/screenplay); Gael García Bernal, Vicky Krieps, Rufus Sewell, Alex Wolff, Thomasin McKenzie, Abbey Lee, Nikki Amuka-Bird, Ken Leung, Eliza Scanlen, Aaron Pierre, Embeth Davidtz, Emun Elliott","Drama, Horror, Mystery"
Jolt,"Tanya Wexler (director); Scott Wascha (screenwriter); Kate Beckinsale, Bobby Cannavale, Laverne Cox, Stanley Tucci, Jai Courtney, Susan Sarandon","Action, Comedy, Crime"
Midnight in the Switchgrass,"Randall Emmett (director); Alan Horsnail (screenplay); Megan Fox, Bruce Willis, Emile Hirsch, Machine Gun Kelly, Lukas Haas","Action, Crime, Thriller"
Broken Diamonds,"Peter Sattler (director); Steve Waverly (screenplay); Ben Platt, Lola Kirke, Yvette Nicole Brown, Alphonso McAuley, Lynda Boyd",Drama
Val,"Leo Scott, Ting Poo (directors); Val Kilmer","Comedy, Horror, Thriller"
Jungle Cruise,"Jaume Collet-Serra (director); Michael Green, Glenn Ficarra, John Requa (screenplay); Dwayne Johnson, Emily Blunt, Édgar Ramírez, Jack Whitehall, Jesse Plemons, Paul Giamatti","Action, Adventure, Comedy"
Vivo,"Kirk DeMicco (director); Quiara Alegría Hudes (screenplay); Lin-Manuel Miranda, Ynairaly Simo, Zoe Saldana, Juan de Marcos González, Michael Rooker, Brian Tyree Henry, Nicole Byer, Gloria Estefan","Animation, Adventure, Comedy"
Stillwater,"Tom McCarthy (director/screenplay); Marcus Hinchey, Thomas Bidegain, Noé Debré (screenplay); Matt Damon, Camille Cottin, Abigail Breslin","Crime, Drama, Thriller"
The Green Knight,"David Lowery (director/screenplay); Dev Patel, Alicia Vikander, Joel Edgerton, Sarita Choudhury, Sean Harris, Ralph Ineson, Barry Keoghan, Erin Kellyman, Kate Dickie","Adventure, Drama, Fantasy"
Ride the Eagle,"Trent O'Donnell (director/screenplay); Jake Johnson (screenplay); Jake Johnson, D'Arcy Carden, J.K. Simmons, Susan Sarandon","Comedy, Drama"
The Suicide Squad,"James Gunn (director/screenplay); Idris Elba, Margot Robbie, John Cena, Joel Kinnaman, Sylvester Stallone, Viola Davis, David Dastmalchian, Daniela Melchior, Michael Rooker, Jai Courtney, Peter Capaldi, Alice Braga, Pete Davidson, Nathan Fillion, Sean Gunn, Flula Borg, Mayling Ng","Action, Adventure, Comedy"
Naked Singularity,"Chase Palmer (director/screenplay); David Matthews (screenplay); John Boyega, Olivia Cooke, Bill Skarsgård, Ed Skrein, Linda Lavin, Tim Blake Nelson","Comedy, Crime, Drama"
John and the Hole,"Pascual Sisto (director); Nicolás Giacobone (screenplay); Charlie Shotwell, Michael C. Hall, Jennifer Ehle, Taissa Farmiga","Drama, Thriller"
Playing God,"Scott Brignac (director/screenplay); Hannah Kasulka, Luke Benward, Jude Demorest, Marc Menchaca, Alan Tudyk, Michael McKean","Comedy, Drama"
Swan Song,"Todd Stephens (director/screenplay); Udo Kier, Jennifer Coolidge, Linda Evans, Michael Urie, Ira Hawkins, Stephanie McVay","Drama, Romance, Sci-Fi"
Swan Song,"Todd Stephens (director/screenplay); Udo Kier, Jennifer Coolidge, Linda Evans, Michael Urie, Ira Hawkins, Stephanie McVay",Drama
Swan Song,"Benjamin Cleary (director/screenplay); Mahershala Ali, Naomie Harris, Glenn Close, Awkwafina, Adam Beach","Drama, Romance, Sci-Fi"
Swan Song,"Benjamin Cleary (director/screenplay); Mahershala Ali, Naomie Harris, Glenn Close, Awkwafina, Adam Beach",Drama
The Kissing Booth 3,"Vince Marcello (director/screenplay); Jay Arnold (screenplay); Joey King, Joel Courtney, Jacob Elordi, Taylor Zakhar Perez, Maisie Richardson-Sellers, Meganne Young, Molly Ringwald","Comedy, Romance"
Free Guy,"Shawn Levy (director); Matt Lieberman, Zak Penn (screenplay); Ryan Reynolds, Jodie Comer, Lil Rel Howery, Utkarsh Ambudkar, Joe Keery, Taika Waititi","Action, Adventure, Comedy"
Respect,"Liesl Tommy (director); Tracey Scott Wilson (screenplay); Jennifer Hudson, Forest Whitaker, Marlon Wayans, Audra McDonald, Marc Maron, Tituss Burgess, Mary J. Blige","Biography, Drama, Music"
Beckett,"Ferdinando Cito Filomarino (director); Kevin A. Rice (screenplay); John David Washington, Boyd Holbrook, Vicky Krieps, Alicia Vikander","Action, Crime, Drama"
Don't Breathe 2,"Rodo Sayagues (director/screenplay); Fede Álvarez (screenplay); Stephen Lang, Brendan Sexton III, Madelyn Grace","Action, Drama, Horror"
CODA,"Sian Heder (director/screenplay); Emilia Jones, Eugenio Derbez, Troy Kotsur, Ferdia Walsh-Peelo, Daniel Durant, Marlee Matlin","Drama, Music"
PAW Patrol: The Movie,"Cal Brunker (director); Cal Brunker, Bob Barlen, Billy Frolick (screenplay); Iain Armitage, Marsai Martin, Ron Pardo, Yara Shahidi, Kim Kardashian West, Randall Park, Dax Shepard, Tyler Perry, Jimmy Kimmel, Will Brisbin","Animation, Adventure, Comedy"
Reminiscence,"Lisa Joy (director/screenplay); Hugh Jackman, Rebecca Ferguson, Thandiwe Newton, Cliff Curtis, Marina de Tavira, Daniel Wu","Mystery, Romance, Sci-Fi"
The Protégé,"Martin Campbell (director); Richard Wenk (screenplay); Michael Keaton, Maggie Q, Samuel L. Jackson, Robert Patrick","Action, Thriller"
Sweet Girl,"Brian Andrew Mendoza (director); Philip Eisner, Gregg Hurwitz (screenplay); Jason Momoa, Isabela Merced, Manuel Garcia-Rulfo, Raza Jaffrey, Justin Bartha, Lex Scott Davis, Michael Raymond-James, Adria Arjona, Amy Brenneman","Action, Drama, Thriller"
Flag Day,"Sean Penn (director); Jez Butterworth, John-Henry Butterworth (screenplay); Dylan Penn, Sean Penn, Katheryn Winnick, Eddie Marsan, Josh Brolin, Regina King","Crime, Drama"
Cryptozoo,"Dash Shaw (director/screenplay); Lake Bell, Michael Cera, Angeliki Papoulia, Zoe Kazan, Peter Stormare, Grace Zabriskie, Louisa Krause, Thomas Jay Ryan, Alex Karpovsky",Animation
Habit,"Janell Shirtcliff (director); Suki Kaiser (screenplay); Josie Ho, Bella Thorne, Gavin Rossdale, Hana Mae Lee, Paris Jackson","Action, Comedy, Drama"
Demonic,"Neill Blomkamp (director/screenplay); Carly Pope, Chris William Martin, Michael Rogers, Nathalie Boltt, Terry Chen","Drama, Horror, Sci-Fi"
Risen,"Eddie Arya (director/screenplay); Caroline McQuade, Kenneth Trujillo, Wassim Hawat, Buffy Anne Littaua, Nicole Sharrock, Melissa Brattoni, Anthony Moisset, Marcus Johnson","Drama, Sci-Fi, Thriller"
The Witcher: Nightmare of the Wolf,"Kwang Il Han (director); Beau DeMayo (screenplay); Theo James, Lara Pulver, Graham McTavish, Mary McDonnell","Animation, Action, Adventure"
Candyman,"Nia DaCosta (director/screenplay); Jordan Peele, Win Rosenfeld (screenplay); Yahya Abdul-Mateen II, Teyonah Parris, Nathan Stewart-Jarrett, Colman Domingo, Kyle Kaminsky, Vanessa Estelle Williams","Horror, Thriller"
Vacation Friends,"Clay Tarver (director/screenplay); Tom Mullen, Tim Mullen, Jonathan Goldstein, John Francis Daley (screenplay); John Cena, Lil Rel Howery, Yvonne Orji, Meredith Hagner, Lynn Whitfield, Andrew Bachelor","Adventure, Comedy"
He's All That,"Mark Waters (director); R. Lee Fleming (screenplay); Addison Rae, Tanner Buchanan, Madison Pettis, Rachael Leigh Cook, Peyton Meyer, Matthew Lillard","Comedy, Romance"
No Man of God,"Amber Sealey (director); C. Robert Cargill (screenplay); Elijah Wood, Luke Kirby, Aleksa Palladino, Robert Patrick","Biography, Crime, Drama"
Rushed,"Vibeke Muasya (director); Siobhan Fallon Hogan (screenplay), Siobhan Fallon Hogan, Robert Patrick, Jake Weary, Peri Gilpin","Crime, Drama, Horror"
Afterlife of the Party,"Stephen Herek (director); Carrie Freedle (screenplay); Victoria Justice, Midori Francis, Timothy Renouf, Adam Garcia, Gloria Garcia, Spencer Sutherland","Comedy, Drama, Fantasy"
Shang-Chi and the Legend of the Ten Rings,"Destin Daniel Cretton (director/screenplay); David Callaham, Andrew Lanham (screenplay); Simu Liu, Awkwafina, Meng'er Zhang, Fala Chen, Florian Munteanu, Benedict Wong, Michelle Yeoh, Ben Kingsley, Tony Leung","Action, Adventure, Fantasy"
Cinderella,"Kay Cannon (director/screenwriter); Camila Cabello, Idina Menzel, Nicholas Galitzine, Minnie Driver, Pierce Brosnan, Billy Porter","Comedy, Family, Fantasy"
Cinderella,"Kay Cannon (director/screenwriter); Camila Cabello, Idina Menzel, Nicholas Galitzine, Minnie Driver, Pierce Brosnan, Billy Porter","Drama, Horror"
The Gateway,"Michele Civetta (director/screenplay); Alexander Felix Bendaña, Andrew Levitas (screenplay); Shea Whigham, Olivia Munn, Frank Grillo, Bruce Dern, Keith David",Thriller
Wild Indian,"Lyle Mitcell Corbine, Jr. (director/screenplay); Michael Greyeyes, Chaske Spencer, Jesse Eisenberg, Kate Bosworth","Crime, Drama, Mystery"
We Need to Do Something,"Sean King O'Grady (director); Max Booth III (screenwriter); Sierra McCormick, Vinessa Shaw, Pat Healy, Ozzy Osbourne","Horror, Mystery"
Kate,"Cedric Nicolas-Troyan (director); Umair Aleem (screenplay); Mary Elizabeth Winstead, Miku Martineau, Woody Harrelson, Tadanobu Asano, Michiel Huisman, Miyavi, Jun Kunimura","Action, Adventure, Crime"
Everybody's Talking About Jamie,"Jonathan Butterell (director); Tom MacRae (screenplay); Max Harwood, Sarah Lancashire, Lauren Patel, Shobna Gulati, Ralph Ineson, Adeel Akhtar, Samuel Bottomley, Sharon Horgan, Richard E. Grant","Biography, Comedy, Drama"
Malignant,"James Wan (director); Akela Cooper (screenplay); Annabelle Wallis, Maddie Hasson, George Young, Michole Briana White, Jacqueline McKenzie","Crime, Horror, Mystery"
Queenpins,"Aron Gaudet, Gita Pullapilly (directors/screenplay); Kristen Bell, Kirby Howell-Baptiste, Paul Walter Hauser, Bebe Rexha, Vince Vaughn","Comedy, Crime"
The Card Counter,"Paul Schrader (director/screenplay); Oscar Isaac, Tiffany Haddish, Tye Sheridan, Willem Dafoe","Crime, Drama, Thriller"
Come from Away,"Christopher Ashley (director); Irene Sankoff, David Hein (screenplay); Petrina Bromley, Jenn Colella, De'Lon Grant, Joel Hatch, Tony LePage, Caesar Samayoa, Q. Smith, Astrid Van Wieren, Emily Walton, Jim Walton, Sharon Wheatley, Paul Whitty","Comedy, Drama, Musical"
The Voyeurs,"Michael Mohan (director/screenplay); Sydney Sweeney, Justice Smith, Ben Hardy, Natasha Liu Bordizzo","Drama, Mystery, Thriller"
Small Engine Repair,"John Pollono (director/screenplay); Jon Bernthal, Shea Whigham, Jordana Spiro, John Pollono, Ciara Bravo, Spencer House","Comedy, Drama, Thriller"
Language Lessons,"Natalie Morales (director/screenplay), Mark Duplass (screenplay), Natalie Morales, Mark Duplass, Desean Terry","Comedy, Drama"
Catch the Bullet,"Michael Feifer (director); Jerry Robbins (screenplay); Jay Pickett, Peter Facinelli, Tom Skerritt",Western
Generation Wrecks,"Kevin T. Morales (director/screenplay); Victoria Leigh, Bridget McGarry (screenplay); Bridget McGarry, Victoria Leigh, Okieriete Onaodowan, Emily Bergl, Heather Matarazzo",Comedy
My Son,"Christian Carion (director/screenplay); Laurie Irrmann (screenplay); James McAvoy, Claire Foy, Gary Lewis, Tom Cullen","Crime, Drama, Mystery"
Nightbooks,"David Yarovesky (director); Mikki Daughtry, Tobias Iaconis (screenplay); Winslow Fegley, Lidya Jewett, Krysten Ritter","Family, Fantasy, Horror"
The Starling,"Theodore Melfi (director); Matt Harris (screenpaly); Melissa McCarthy, Chris O'Dowd, Timothy Olyphant, Daveed Diggs, Skyler Gisondo, Laura Harrier, Rosalind Chao, Loretta Devine, Kevin Kline","Comedy, Drama"
The Eyes of Tammy Faye,"Michael Showalter (director); Abe Sylvia (screenplay); Jessica Chastain, Andrew Garfield, Cherry Jones, Vincent D'Onofrio","Biography, Drama, Romance"
Cry Macho,"Clint Eastwood (director); Nick Schenk, N. Richard Nash (screenplay); Clint Eastwood, Dwight Yoakam, Eduardo Minett","Drama, Thriller, Western"
Copshop,"Joe Carnahan (director/screenplay); Kurt McLeod (screenplay); Gerard Butler, Frank Grillo, Alexis Louder, Toby Huss","Action, Crime, Thriller"
Blue Bayou,"Justin Chon (director/screenplay); Justin Chon, Alicia Vikander, Mark O'Brien, Linh Dan Pham, Sydney Kowalske, Vondie Curtis-Hall, Emory Cohen",Drama
Prisoners of the Ghostland,"Sion Sono (director); Aaron Hendry, Reza Sixo Safai (screenplay); Nicolas Cage, Sofia Boutella, Bill Moseley, Nick Cassavetes, Tak Sakaguchi, Ed Skrein","Action, Sci-Fi, Thriller"
Best Sellers,"Lina Roessler (director); Anthony Grieco (screenplay); Michael Caine, Aubrey Plaza, Scott Speedman, Ellen Wong, Veronica Ferres, Cary Elwes","Comedy, Drama"
Lady of the Manor,"Justin Long, Christian Long (directors/screenplay); Melanie Lynskey, Judy Greer, Justin Long, Ryan Phillippe, Luis Guzmán",Comedy
Intrusion,"Adam Salky (director); Chris Sparling (screenplay); Freida Pinto, Logan Marshall-Green, Robert John Burke","Drama, Thriller"
Intrusion,"Adam Salky (director); Chris Sparling (screenplay); Freida Pinto, Logan Marshall-Green, Robert John Burke","Crime, Drama, Horror"
My Little Pony: A New Generation,"Robert Cullen, Jose Ucha (directors); Gillian Berrow, Tim Sullivan (screenplay); Vanessa Hudgens, Kimiko Glenn, James Marsden, Sofia Carson, Liza Koshy, Ken Jeong, Elizabeth Perkins, Jane Krakowski, Michael McKean, Phil LaMarr","Animation, Adventure, Comedy"
Dear Evan Hansen,"Stephen Chbosky (director); Steven Levenson (screenplay); Ben Platt, Kaitlyn Dever, Amandla Stenberg, Nik Dodani, Colton Ryan, Danny Pino, Julianne Moore, Amy Adams","Drama, Musical"
